Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
rock,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400.0
rock,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347.0
rock,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173.0
rock,0.82,0.452,-9.796,0.0348,0.543,0.0714,117.401,253920.0
rock,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800.0
rock,0.933,0.528,-6.472,0.162,0.112,0.163,109.975,214653.0
rock,0.626,0.56,-5.82,0.0288,0.148,0.109,93.989,244005.0
rock,0.542,0.732,-5.956,0.0521,0.00209,0.496,124.912,175644.0
rock,0.548,0.532,-7.596,0.0323,0.186,0.217,85.03,272394.0
rock,0.588,0.856,-5.242,0.0316,0.000818,0.238,96.966,175044.0
rock,0.687,0.89,-5.99,0.0344,0.00396,0.0436,113.06,172232.0
rock,0.7,0.664,-8.211,0.0394,0.306,0.249,142.009,223066.0
rock,0.734,0.637,-5.677,0.141,0.0462,0.0602,169.977,202333.0
rock,0.691,0.631,-6.478,0.0368,0.0483,0.104,92.004,161124.0
rock,0.611,0.797,-7.627,0.0533,0.00543,0.26,120.041,218107.0
rock,0.563,0.865,-5.277,0.16,0.0472,0.77,156.271,209413.0
rock,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653.0
rock,0.534,0.904,-3.315,0.0369,0.129,0.128,202.899,220160.0
rock,0.526,0.925,-5.584,0.0363,0.102,0.305,140.308,272394.0
rock,0.666,0.841,-3.592,0.0312,0.613,0.113,128.706,126360.0
rock,0.612,0.289,-11.568,0.0421,0.599,0.0561,183.18,177440.0
rock,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653.0
rock,0.574,0.913,-4.793,0.133,0.061,0.156,115.728,208400.0
latin,0.763,0.58,-6.196,0.144,0.0466,0.154,175.937,212011.0
latin,0.694,0.796,-4.164,0.0565,0.48,0.108,93.064,212312.0
latin,0.889,0.863,-3.011,0.0757,0.289,0.0798,112.953,201000.0
latin,0.641,0.857,-5.725,0.301,0.013,0.0695,122.728,157733.0
latin,0.853,0.909,-2.473,0.229,0.0522,0.129,112.987,178407.0
latin,0.881,0.696,-3.838,0.0797,0.137,0.0927,97.002,200667.0
latin,0.801,0.745,-3.733,0.063,0.398,0.153,104.965,214013.0
hip hop,0.874,0.542,-7.064,0.344,0.0621,0.181,142.016,196933.0
latin,0.685,0.848,-4.561,0.0858,0.0861,0.0783,179.87,163084.0
hip hop,0.88,0.787,-5.189,0.118,0.226,0.12,113.018,264834.0
latin,0.654,0.672,-5.98,0.311,0.471,0.0781,181.857,249520.0
latin,0.85,0.536,-5.161,0.0599,0.267,0.0996,96.029,210607.0
hip hop,0.769,0.787,-3.909,0.367,0.189,0.129,126.77,159715.0
